               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,           0.0043222,           0.0024074,                   0,             0.99789,             0.99599,             0.99396,              0.9935,           0.0015842,           0.0025532,                   0,            0.008812,            0.008812,            0.008812
                  38,           0.0044692,           0.0024265,                   0,               0.998,             0.99783,             0.99492,             0.99097,           0.0016226,           0.0021133,                   0,            0.008779,            0.008779,            0.008779
                  39,           0.0042185,           0.0024211,                   0,             0.99787,             0.99599,              0.9939,             0.99344,           0.0012134,           0.0025681,                   0,            0.008746,            0.008746,            0.008746
                  40,           0.0044622,           0.0023861,                   0,              0.9979,             0.99599,              0.9947,              0.9947,           0.0010669,           0.0020278,                   0,            0.008713,            0.008713,            0.008713
                  41,           0.0043788,           0.0023601,                   0,             0.99799,             0.99588,               0.995,               0.995,           0.0010528,           0.0019161,                   0,             0.00868,             0.00868,             0.00868
                  42,           0.0047753,           0.0024293,                   0,             0.99788,             0.99599,             0.99494,             0.99417,           0.0012341,           0.0025686,                   0,            0.008647,            0.008647,            0.008647
                  43,           0.0044457,           0.0023524,                   0,             0.99785,             0.99599,             0.99498,              0.9948,           0.0011638,           0.0023781,                   0,            0.008614,            0.008614,            0.008614
                  44,           0.0043321,           0.0023752,                   0,             0.99788,             0.99599,              0.9947,             0.99447,           0.0011408,           0.0022759,                   0,            0.008581,            0.008581,            0.008581
                  45,           0.0041764,           0.0023721,                   0,             0.99783,             0.99599,             0.99498,             0.99495,           0.0011408,           0.0022211,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.003972,           0.0023383,                   0,             0.99789,             0.99599,             0.99444,             0.99444,           0.0011273,           0.0024339,                   0,            0.008515,            0.008515,            0.008515
                  47,           0.0041001,           0.0022922,                   0,             0.99756,             0.99599,               0.995,               0.995,           0.0012659,           0.0023415,                   0,            0.008482,            0.008482,            0.008482
